0.007,0.537
0.007,0.537
0.007,0.535
0.007,0.53
0.008,0.52
0.01,0.505
0.012,0.489
0.014,0.475
0.017,0.463
0.02,0.453
0.022,0.445
0.025,0.438
0.028,0.432
0.031,0.426
0.034,0.421
0.037,0.416
0.04,0.412
0.043,0.41
0.046,0.41
0.049,0.41
0.052,0.41
0.055,0.411
0.058,0.411
0.061,0.411
0.064,0.411
0.067,0.411
0.07,0.411
0.073,0.411
0.076,0.411
0.079,0.411
0.082,0.411
0.085,0.411
0.088,0.411
0.091,0.411
0.094,0.411
0.097,0.411
0.1,0.411
0.105,0.412
0.112,0.412
0.123,0.412
0.138,0.413
0.154,0.413
0.171,0.414
0.187,0.415
0.203,0.415
0.219,0.416
0.236,0.417
0.253,0.418
0.269,0.419
0.286,0.421
0.303,0.422
0.319,0.423
0.336,0.425
0.353,0.426
0.37,0.428
0.387,0.429
0.404,0.431
0.421,0.433
0.438,0.435
0.455,0.437
0.472,0.439
0.489,0.441
0.506,0.444
0.523,0.446
0.539,0.448
0.556,0.451
0.572,0.454
0.589,0.456
0.604,0.459
0.62,0.462
0.636,0.465
0.652,0.468
0.668,0.471
0.683,0.474
0.698,0.477
0.713,0.48
0.728,0.484
0.742,0.487
0.757,0.491
0.771,0.495
0.784,0.498
0.798,0.502
0.811,0.506
0.824,0.51
0.836,0.514
0.848,0.519
0.86,0.523
0.871,0.528
0.882,0.533
0.892,0.538
0.901,0.542
0.907,0.542
0.911,0.542
0.913,0.542
0.913,0.542
0.91,0.542
0.907,0.542
0.902,0.542
0.898,0.541
0.893,0.538
0.888,0.536
0.883,0.534
0.879,0.531
